title,price,shop,detail_url
"拍拍	
Apple iPhone SE 苹果se 二手苹果手机 苹果SE 银色 16G 全网通
								国行正品，品类好货，下单即送配件套装及运费险，华为Mate40Pro，5G麒麟9000|非凡影响超感纸徕卡电影影像²",￥418.00,和合优品二手商品专营店,https://item.jd.com/10024430600961.html
Apple【分期免息】苹果14 iphone14 5G双卡全网通 6.1英寸 ASIS资源 14-星光色 6.1寸 128GB【2年店保】,￥5000.00,京智选手机通讯买手店,https://item.jd.com/10073328998847.html
Apple iPhone 15 Pro Max (A3108) 256GB 白色钛金属 支持移动联通电信5G 双卡双待手机,￥7899.00,,https://item.jd.com/100088850142.html
"爱心东东	
Apple iPhone15pro 系列 苹果15promax 美版有锁 三网通手机 分期免息 iPhone 15 Pro 原色钛金属 128GB 美版有锁【180天碎屏险】",￥5037.00,前骏数码3C买手店,https://item.jd.com/10082936678640.html
Apple【520情人节】iPhone 15 Pro 全网通5G 苹果15pro双卡 ASIS资源 苹果15Pro 白色钛金属 256GB 公开版全网通+2年只换不修,￥7819.00,迪达斯手机通讯买手店,https://item.jd.com/10085907684134.html
AppleAPPLE iPhone 15全新未激活美版有锁 苹果15  4800万像素送女友 IPHONE 15 绿色无卡孔 128GB 全新未激活美版有锁,￥3929.00,白老汇数码香港买手店,https://item.jd.com/10078535460613.html
"拍拍	
Apple iPhone 8plus 国行 苹果8 二手苹果手机 苹果8plus手机全网通4G 8plus(5.5寸)【深空灰】 8成新 64GB【全网通】",￥698.00,宇航优品二手手机专营店,https://item.jd.com/10089766129603.html
"Apple iPhone 15 Pro (A3104) 256GB 白色钛金属 支持移动联通电信5G 双卡双待手机
								iPhone15全系列520心动好价来袭,",￥7199.00,中国联通京东自营旗舰店,https://item.jd.com/100068388763.html
"爱心东东	
Apple苹果 iPhone12 库存机 店保一年 全网通双卡双待5G手机 分期免息 iPhone12_双卡5G【6.1寸黑色】 256G_【快充 店保一年】",￥3369.00,品阁优美手机通讯买手店,https://item.jd.com/10078388989641.html
Apple苹果 iPhone 12 双卡双待手机 苹果12全网通5G手机库存机 苹果12_双卡5G【6.1寸白色】 128G_【 快充 店保一年 】,￥3299.00,汇佳优品手机通讯买手店,https://item.jd.com/10097652224002.html
【至快今日达】Apple iPhone 15,￥5728.00,玺瑞手机通讯买手店,https://item.jd.com/10085885929397.html
Apple【分期免息】苹果15ProMax iPhone 15promax 全网通手机 ASIS资源 15Pro Max蓝色钛金属 6.7英寸 256GB 【原装未使用+店保2年】,￥8679.00,点硕3C数码买手店,https://item.jd.com/10096386612262.html
"爱心东东	
Apple苹果 iPhone 12 双卡双待手机 苹果12全网通5G手机库存机分期免息 iPhone12_双卡5G【6.1寸白色】 128G_【快充 店保一年】",￥2979.00,灰思维数码买手店,https://item.jd.com/10098474779855.html
"拍拍	
苹果12 Apple iPhone12 苹果12二手 游戏手机 5G手机 二手苹果手机 国行双卡双待 黑色 128G全网通 品牌电池100% 95新
								苹果xr双卡6.1寸大屏体验，超高性价比，7天无理由退货，售后无忧",￥2029.00,京选二手手机专营店,https://item.jd.com/10066920662068.html
